TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790361221.736 0.357
RTT 1790361221.990 3.402
RTT 1790361222.237 0.188
RTT 1790361222.487 0.261
RTT 1790361222.737 0.331
RTT 1790361222.987 0.065
RTT 1790361223.238 0.263
RTT 1790361223.488 0.075
RTT 1790361223.738 0.063
RTT 1790361223.988 0.070
RTT 1790361224.242 3.706
RTT 1790361224.489 0.835
RTT 1790361224.739 0.189
RTT 1790361224.993 3.795
RTT 1790361225.239 0.111
RTT 1790361225.489 0.177
RTT 1790361225.739 0.069
RTT 1790361225.991 2.148
RTT 1790361226.240 0.172
RTT 1790361226.490 0.278
RTT 1790361226.740 0.223
RTT 1790361226.996 5.723
RTT 1790361227.240 0.080
RTT 1790361227.491 0.153
RTT 1790361227.741 0.192
RTT 1790361227.995 4.457
RTT 1790361228.241 0.078
RTT 1790361228.491 0.066
RTT 1790361228.741 0.078
RTT 1790361228.993 1.641
RTT 1790361229.242 0.376
RTT 1790361229.494 0.261
RTT 1790361229.744 0.182
RTT 1790361230.000 5.706
RTT 1790361230.250 5.628
RTT 1790361230.495 0.318
RTT 1790361230.747 2.538
RTT 1790361230.995 0.312
RTT 1790361231.246 0.343
RTT 1790361231.496 0.071
RTT 1790361231.753 6.958
RTT 1790361231.996 0.153
RTT 1790361232.247 0.237
RTT 1790361232.497 0.185
RTT 1790361232.747 0.130
RTT 1790361233.000 0.361
RTT 1790361233.250 0.109
RTT 1790361233.506 6.277
RTT 1790361233.754 4.172
RTT 1790361234.000 0.219
RTT 1790361234.250 0.085
RTT 1790361234.504 3.566
RTT 1790361234.761 10.683
RTT 1790361235.001 0.207
RTT 1790361235.251 0.201
RTT 1790361235.504 2.917
RTT 1790361235.752 0.432
RTT 1790361236.004 0.288
RTT 1790361236.254 0.185
RTT 1790361236.508 3.806
RTT 1790361236.758 3.405
RTT 1790361237.005 0.211
RTT 1790361237.255 0.282
RTT 1790361237.512 7.355
RTT 1790361237.757 0.238
RTT 1790361238.006 0.068
RTT 1790361238.257 0.132
RTT 1790361238.510 3.667
RTT 1790361238.757 0.336
RTT 1790361239.008 0.327
RTT 1790361239.258 0.066
RTT 1790361239.508 0.292
RTT 1790361239.758 0.093
RTT 1790361240.008 0.086
RTT 1790361240.258 0.324
RTT 1790361240.516 7.533
RTT 1790361240.759 0.397
RTT 1790361241.009 0.097
RTT 1790361241.260 0.374
RTT 1790361241.512 2.801
RTT 1790361241.760 0.970
RTT 1790361242.010 0.077
RTT 1790361242.260 0.274
RTT 1790361242.511 1.723
RTT 1790361242.764 4.107
RTT 1790361243.011 0.345
RTT 1790361243.261 0.092
RTT 1790361243.511 0.194
RTT 1790361243.768 7.227
RTT 1790361244.013 2.123
RTT 1790361244.261 0.058
RTT 1790361244.512 0.169
RTT 1790361244.765 3.825
RTT 1790361245.012 0.147
RTT 1790361245.262 0.114
RTT 1790361245.513 0.398
RTT 1790361245.766 3.166
RTT 1790361246.013 0.197
RTT 1790361246.263 0.071
RTT 1790361246.518 4.655
RTT 1790361246.763 0.057
RTT 1790361247.014 0.325
RTT 1790361247.264 0.387
RTT 1790361247.515 1.377
RTT 1790361247.764 0.219
RTT 1790361248.015 0.325
RTT 1790361248.265 0.224
RTT 1790361248.519 4.675
RTT 1790361248.765 0.067
RTT 1790361249.015 0.158
RTT 1790361249.265 0.301
RTT 1790361249.520 4.639
RTT 1790361249.766 0.314
RTT 1790361250.018 0.218
RTT 1790361250.273 4.850
RTT 1790361250.521 2.867
RTT 1790361250.771 2.462
RTT 1790361251.019 0.247
RTT 1790361251.269 0.085
RTT 1790361251.519 0.126
RTT 1790361251.769 0.076
RTT 1790361252.019 0.132
RTT 1790361252.277 8.182
RTT 1790361252.521 1.528
RTT 1790361252.770 0.177
RTT 1790361253.020 0.080
RTT 1790361253.271 0.150
RTT 1790361253.523 2.171
RTT 1790361253.771 0.191
RTT 1790361254.021 0.067
RTT 1790361254.271 0.223
RTT 1790361254.528 6.311
RTT 1790361254.772 0.161
RTT 1790361255.022 0.335
RTT 1790361255.272 0.159
RTT 1790361255.523 0.971
RTT 1790361255.772 0.264
RTT 1790361256.022 0.074
RTT 1790361256.272 0.088
RTT 1790361256.524 1.480
RTT 1790361256.773 0.181
RTT 1790361257.023 0.303
RTT 1790361257.274 0.343
RTT 1790361257.531 7.367
RTT 1790361257.776 2.035
RTT 1790361258.024 0.133
RTT 1790361258.274 0.317
RTT 1790361258.529 4.667
RTT 1790361258.775 1.004
RTT 1790361259.025 0.149
RTT 1790361259.277 0.116
RTT 1790361259.544 16.851
RTT 1790361259.780 2.750
RTT 1790361260.028 0.158
RTT 1790361260.279 0.085
RTT 1790361260.530 0.686
RTT 1790361260.780 0.666
RTT 1790361261.030 0.128
RTT 1790361261.281 0.342
RTT 1790361261.534 3.298
RTT 1790361261.784 3.064
RTT 1790361262.034 0.305
RTT 1790361262.284 0.085
RTT 1790361262.540 6.087
RTT 1790361262.784 0.206
RTT 1790361263.034 0.157
RTT 1790361263.285 0.348
