TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790360442.059 4.996
RTT 1790360442.305 1.101
RTT 1790360442.554 0.285
RTT 1790360442.805 0.193
RTT 1790360443.056 1.668
RTT 1790360443.305 0.099
RTT 1790360443.555 0.368
RTT 1790360443.805 0.170
RTT 1790360444.058 3.100
RTT 1790360444.305 0.083
RTT 1790360444.556 0.493
RTT 1790360444.806 0.182
RTT 1790360445.057 0.673
RTT 1790360445.312 5.631
RTT 1790360445.557 0.083
RTT 1790360445.807 0.165
RTT 1790360446.060 2.841
RTT 1790360446.309 1.712
RTT 1790360446.557 0.158
RTT 1790360446.808 0.450
RTT 1790360447.063 5.512
RTT 1790360447.308 0.125
RTT 1790360447.558 0.350
RTT 1790360447.810 0.116
RTT 1790360448.071 10.379
RTT 1790360448.311 0.258
RTT 1790360448.563 0.468
RTT 1790360448.816 3.068
RTT 1790360449.064 0.748
RTT 1790360449.313 0.155
RTT 1790360449.572 8.463
RTT 1790360449.820 6.057
RTT 1790360450.064 0.193
RTT 1790360450.315 0.257
RTT 1790360450.566 1.437
RTT 1790360450.815 0.145
RTT 1790360451.065 0.148
RTT 1790360451.319 3.451
RTT 1790360451.567 1.165
RTT 1790360451.820 4.612
RTT 1790360452.066 0.102
RTT 1790360452.316 0.149
RTT 1790360452.572 5.858
RTT 1790360452.818 1.784
RTT 1790360453.067 0.339
RTT 1790360453.317 0.220
RTT 1790360453.573 6.153
RTT 1790360453.818 1.406
RTT 1790360454.067 0.230
RTT 1790360454.320 0.203
RTT 1790360454.575 4.742
RTT 1790360454.821 1.031
RTT 1790360455.070 0.193
RTT 1790360455.324 3.768
RTT 1790360455.571 1.152
RTT 1790360455.821 0.301
RTT 1790360456.071 0.137
RTT 1790360456.328 7.098
RTT 1790360456.572 0.735
RTT 1790360456.821 0.110
RTT 1790360457.071 0.070
RTT 1790360457.322 0.541
RTT 1790360457.572 0.478
RTT 1790360457.822 0.199
RTT 1790360458.075 3.004
RTT 1790360458.327 5.203
RTT 1790360458.573 0.309
RTT 1790360458.823 0.073
RTT 1790360459.075 2.601
RTT 1790360459.323 0.111
RTT 1790360459.573 0.167
RTT 1790360459.828 4.646
RTT 1790360460.077 3.331
RTT 1790360460.324 0.143
RTT 1790360460.574 0.159
RTT 1790360460.825 0.801
RTT 1790360461.076 2.437
RTT 1790360461.324 0.141
RTT 1790360461.575 0.183
RTT 1790360461.838 13.692
RTT 1790360462.075 0.163
RTT 1790360462.326 0.161
RTT 1790360462.580 4.053
RTT 1790360462.828 2.579
RTT 1790360463.076 0.086
RTT 1790360463.326 0.173
RTT 1790360463.579 2.975
RTT 1790360463.835 8.930
RTT 1790360464.077 0.093
RTT 1790360464.327 0.312
RTT 1790360464.579 1.712
RTT 1790360464.829 1.816
RTT 1790360465.077 0.102
RTT 1790360465.328 0.164
RTT 1790360465.582 4.300
RTT 1790360465.828 0.213
