# evidence replay 2026-09-24T14:14:33+08:00: exact-line count of
# ^EXA bug: pPixmap->devPrivate\.ptr was 0x[0-9a-f]+, but should have been NULL\.$
# columns: count  sha256(log)[:16]  frozen-sha256sums-match  path
     0  d47ca511781c9276  no-manifest  ./gate-a-a1/p2-r1-diag-runtime/t2-A1-unset/x3-launcher.raw.log
     0  f214df64f7be6ecb  no-manifest  ./gate-a-a1/p2-r1-diag-runtime/t2-A2-unset/x3-launcher.raw.log
     0  054dd34252855f99  no-manifest  ./gate-a-a1/p2-r1-diag-runtime/t2-A3-unset/x3-launcher.raw.log
     0  73b2b5f4182ae34f  no-manifest  ./gate-a-a1/p2-r1-diag-runtime/t2-B1-proto0/x3-launcher.raw.log
     0  a0b1babacaab28b9  no-manifest  ./gate-a-a1/p2-r1-diag-runtime/t2-B2-proto0/x3-launcher.raw.log
     0  e063fea72d4305fb  no-manifest  ./gate-a-a1/p2-r1-diag-runtime/t2-B3-proto0/x3-launcher.raw.log
  2714  333b8067dc023232  no-manifest  ./gate-a-a1/p2-r3-bound-runtime/r1-proto0-oracle/x3-launcher.raw.log
  2714  2beeca31407a7e89  no-manifest  ./gate-a-a1/p2-r3-bound-runtime/r1-unset-oracle/x3-launcher.raw.log
     1  8ed9f86a3abb2c2e  no-manifest  ./gate-a-a1/p2-r3-bound-runtime/r2-imported-reject/x3-launcher.raw.log
     0  429080a4fa3c6d4e  no-manifest  ./gate-a-a1/p2-r3-bound-runtime/r3-single-direct-fresh/x3-launcher.raw.log
     0  f72e4eee0fd6d74f  no-manifest  ./gate-a-a1/p2-r3-bound-runtime/r3-single-direct/x3-launcher.raw.log
     0  69b05d866091d4d3  no-manifest  ./gate-a-a1/p2-r3-bound-runtime/t2-A1-unset/x3-launcher.raw.log
     0  f1bbab89659de4b1  no-manifest  ./gate-a-a1/p2-r3-bound-runtime/t2-A2-unset/x3-launcher.raw.log
     0  0fb753e965649fe7  no-manifest  ./gate-a-a1/p2-r3-bound-runtime/t2-A3-unset/x3-launcher.raw.log
     0  3165a423dd29f863  no-manifest  ./gate-a-a1/p2-r3-bound-runtime/t2-B1-proto0/x3-launcher.raw.log
     0  826c6b15513ec1d8  no-manifest  ./gate-a-a1/p2-r3-bound-runtime/t2-B2-proto0/x3-launcher.raw.log
     0  72590303ffd9ad1d  no-manifest  ./gate-a-a1/p2-r3-bound-runtime/t2-B3-proto0/x3-launcher.raw.log
  2714  66f57945cf78f8ce  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/r1-proto0-oracle/x3-launcher.raw.log
  2714  8916f0bd56618a30  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/r1-unset-oracle/x3-launcher.raw.log
     1  110d0322b12468ae  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/r2-imported-reject/x3-launcher.raw.log
     0  dac8b24584d5b9cf  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/r3-single-direct/x3-launcher.raw.log
     0  3afcaacba872c878  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/t2-A1-unset/x3-launcher.raw.log
     0  7c0017c73b6536c3  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/t2-A2-unset/x3-launcher.raw.log
     0  c22ab8c754d88275  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/t2-B1-proto0/x3-launcher.raw.log
     0  524ea332e10e3bcb  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/t2-B2-proto0/x3-launcher.raw.log
     0  0c537b0ee721fe95  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/t2-forensic-maps-unset/x3-launcher.raw.log
     0  62cf6ac29d049d79  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/t2-rerun-1/t2-A1-unset/x3-launcher.raw.log
     0  51b9db543592707a  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/t2-rerun-1/t2-A2-unset/x3-launcher.raw.log
     0  225ef0dce54edda4  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/t2-rerun-1/t2-A3-unset/x3-launcher.raw.log
     0  1eb3d8b106fccc93  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/t2-rerun-1/t2-B1-proto0/x3-launcher.raw.log
     0  9f01386487339d99  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/t2-rerun-1/t2-B2-proto0/x3-launcher.raw.log
     0  d0217ab2f59d0e30  no-manifest  ./gate-a-a1/p2-r3-diag-runtime/t2-rerun-1/t2-B3-proto0/x3-launcher.raw.log
  2714  042b507cc003832e  no-manifest  ./gate-a-a1/p2-r3-drain-runtime/r1-proto0-oracle/x3-launcher.raw.log
  2714  15da9179457b74bd  no-manifest  ./gate-a-a1/p2-r3-drain-runtime/r1-unset-oracle/x3-launcher.raw.log
     1  f8aae7688a63eddb  no-manifest  ./gate-a-a1/p2-r3-drain-runtime/r2-imported-reject/x3-launcher.raw.log
     0  563ef779f084c931  no-manifest  ./gate-a-a1/p2-r3-drain-runtime/r3-single-direct/x3-launcher.raw.log
  2714  465ec5a31807811f  no-manifest  ./gate-a-a1/p2-r3-terminal-runtime/runtime-88e3f17/r1-proto0-oracle/x3-launcher.raw.log
  2714  5a3c2a6067ff9a66  no-manifest  ./gate-a-a1/p2-r3-terminal-runtime/runtime-88e3f17/r1-unset-oracle/x3-launcher.raw.log
     1  f960506240dd926b  no-manifest  ./gate-a-a1/p2-r3-terminal-runtime/runtime-88e3f17/r2-imported-reject/x3-launcher.raw.log
     0  6ae8ce0c0663d8f6  no-manifest  ./gate-a-a1/p2-r3-terminal-runtime/runtime-88e3f17/r3-single-direct/x3-launcher.raw.log
  1804  04c32c5d16463fac  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-0d72332/r1-unset-oracle-rerun1/x3-launcher.raw.log
  2364  5cefe94d01098d8c  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-0d72332/r1-unset-oracle/x3-launcher.raw.log
     1  22ca4891158c7607  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-0f1e546/r6-d1/x3-launcher.raw.log
     3  cc74192eb5299754  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-0f1e546/r6-d2-inflight/x3-launcher.raw.log
     3  e192ac502c9ada41  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-0f1e546/r6-d2-oom/x3-launcher.raw.log
  1000  19f4540afa2e3fdf  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-1f85b80/stall-obs-01/x3-launcher.raw.log
  1000  eb87b58532b056f3  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-27d8d1b/stall-obs-01/x3-launcher.raw.log
  8191  834c65febfcfd0cc  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-37d8393/r5-ahb-cycles-counters1/x3-launcher.raw.log
  8191  dda38d526de49862  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-37d8393/r5-ahb-cycles/x3-launcher.raw.log
     3  dad7f5dc9251d73d  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-37d8393/r6-cross-op/x3-launcher.raw.log
  2714  7900c7fe3af53183  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-7549e36/b2-requalification-02/x3-launcher.raw.log
     0  45f710259243dcfa  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-7549e36/r7-qualification-01/r7-04/x3-launcher.raw.log
  1000  312be9509055560b  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-7549e36/repair-validation-01/x3-launcher.raw.log
     0  68350367f7e25ba3  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-8545b26/r7-10/x3-launcher.raw.log
     3  4b83faa48216745c  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-8545b26/r7-p1/x3-launcher.raw.log
     1  84b86179fa0a9943  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-9369553/r6-d1-retry1/x3-launcher.raw.log
     0  e1c8265ed82916cd  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-9369553/r6-d1-retry2/x3-launcher.raw.log
     1  7413c0f7b72eef91  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-9369553/r6-d1-retry3/x3-launcher.raw.log
     1  97e51ec8f39e0ad6  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-9369553/r6-d1-retry4/x3-launcher.raw.log
     1  fd4a5f9d6c835f5e  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-9369553/r6-d1-retry5/x3-launcher.raw.log
     2  c33a7159148bd56f  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-9369553/r6-d1/x3-launcher.raw.log
     3  1e62c4a8d49dcad8  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-9369553/r6-d2-inflight-retry1/x3-launcher.raw.log
     3  6297c2c700e444c0  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-9369553/r6-d2-inflight/x3-launcher.raw.log
     3  28fe1c4f68b6556e  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-95e6f96/r6-d2-inflight-retry1/x3-launcher.raw.log
     3  98cab71bc2811018  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-95e6f96/r6-d2-inflight-retry2/x3-launcher.raw.log
     3  97738458ad288e5f  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-95e6f96/r6-d2-inflight-retry3/x3-launcher.raw.log
     3  1dfcd018e575c528  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-95e6f96/r6-d2-inflight-retry4/x3-launcher.raw.log
     3  c6f86894ccbf17dc  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-95e6f96/r6-d2-inflight/x3-launcher.raw.log
     0  dd08a4c4756011d9  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a07d66c/r7-01/x3-launcher.raw.log
     0  8f45f24a3e0979d4  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a07d66c/r7-02/x3-launcher.raw.log
