TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790360187.234 3.709
RTT 1790360187.480 0.135
RTT 1790360187.730 0.199
RTT 1790360187.981 0.185
RTT 1790360188.232 1.295
RTT 1790360188.481 0.156
RTT 1790360188.731 0.062
RTT 1790360188.981 0.183
RTT 1790360189.233 1.174
RTT 1790360189.482 0.213
RTT 1790360189.732 0.160
RTT 1790360189.982 0.128
RTT 1790360190.233 0.644
RTT 1790360190.484 1.489
RTT 1790360190.735 0.334
RTT 1790360190.985 0.318
RTT 1790360191.241 5.819
RTT 1790360191.485 0.235
RTT 1790360191.736 0.328
RTT 1790360191.986 0.325
RTT 1790360192.238 2.258
RTT 1790360192.486 0.220
RTT 1790360192.736 0.082
RTT 1790360192.986 0.081
RTT 1790360193.237 1.036
RTT 1790360193.489 2.878
RTT 1790360193.739 0.212
RTT 1790360193.990 0.336
RTT 1790360194.240 0.669
RTT 1790360194.491 1.095
RTT 1790360194.740 0.220
RTT 1790360194.991 0.320
RTT 1790360195.241 0.087
RTT 1790360195.492 1.459
RTT 1790360195.741 0.194
RTT 1790360195.991 0.124
RTT 1790360196.241 0.227
RTT 1790360196.495 4.295
RTT 1790360196.741 0.134
RTT 1790360196.994 0.356
RTT 1790360197.244 0.066
RTT 1790360197.496 2.010
RTT 1790360197.744 0.274
RTT 1790360197.995 0.194
RTT 1790360198.245 0.183
RTT 1790360198.499 4.623
RTT 1790360198.745 0.133
RTT 1790360198.995 0.284
RTT 1790360199.245 0.136
RTT 1790360199.496 0.254
RTT 1790360199.747 1.648
RTT 1790360199.998 0.392
RTT 1790360200.248 0.179
RTT 1790360200.504 5.280
RTT 1790360200.752 3.684
RTT 1790360200.999 0.102
RTT 1790360201.249 0.160
RTT 1790360201.502 2.837
RTT 1790360201.749 0.251
RTT 1790360201.999 0.073
RTT 1790360202.250 0.318
RTT 1790360202.500 0.093
RTT 1790360202.752 1.677
RTT 1790360203.001 0.494
RTT 1790360203.251 0.153
RTT 1790360203.501 0.100
RTT 1790360203.756 4.907
RTT 1790360204.001 0.215
RTT 1790360204.251 0.194
RTT 1790360204.501 0.196
RTT 1790360204.761 9.784
RTT 1790360205.002 0.243
RTT 1790360205.252 0.289
RTT 1790360205.502 0.188
RTT 1790360205.753 0.541
RTT 1790360206.006 3.102
RTT 1790360206.253 0.070
RTT 1790360206.503 0.173
RTT 1790360206.756 2.834
RTT 1790360207.003 0.094
RTT 1790360207.253 0.176
RTT 1790360207.504 0.322
RTT 1790360207.763 9.340
RTT 1790360208.004 0.122
RTT 1790360208.254 0.184
RTT 1790360208.507 0.372
RTT 1790360208.756 0.065
RTT 1790360209.012 5.119
RTT 1790360209.259 0.245
RTT 1790360209.509 0.363
RTT 1790360209.759 0.322
RTT 1790360210.016 6.743
RTT 1790360210.260 0.237
RTT 1790360210.510 0.134
RTT 1790360210.760 0.212
RTT 1790360211.013 3.032
RTT 1790360211.261 0.400
RTT 1790360211.511 0.071
RTT 1790360211.761 0.338
RTT 1790360212.016 4.974
RTT 1790360212.261 0.137
RTT 1790360212.512 0.203
RTT 1790360212.762 0.056
RTT 1790360213.020 7.749
RTT 1790360213.263 0.155
RTT 1790360213.513 0.192
RTT 1790360213.763 0.151
RTT 1790360214.016 3.552
RTT 1790360214.264 0.388
RTT 1790360214.516 0.327
RTT 1790360214.766 0.302
RTT 1790360215.021 5.123
RTT 1790360215.266 0.148
RTT 1790360215.519 0.381
RTT 1790360215.769 0.124
RTT 1790360216.020 1.257
RTT 1790360216.272 3.246
RTT 1790360216.520 0.308
RTT 1790360216.770 0.089
RTT 1790360217.020 0.069
RTT 1790360217.270 0.538
RTT 1790360217.520 0.061
RTT 1790360217.771 0.332
RTT 1790360218.022 1.763
RTT 1790360218.271 0.152
RTT 1790360218.521 0.182
RTT 1790360218.771 0.084
RTT 1790360219.025 4.496
RTT 1790360219.271 0.187
RTT 1790360219.521 0.245
RTT 1790360219.771 0.071
RTT 1790360220.022 0.148
RTT 1790360220.279 7.849
